,video_tiktok_id
982033,7182669681269132549
401314,7190319511835299074
1108881,7193191056312192298
745903,7196825482061450501
1000238,7169878928780283179
1274865,7233657471351524634
368462,7163987928245439746
1091060,7225311911829703942
1235863,7236116738704755995
1418171,7234615027045633285
633926,7136191610727042310
997752,7180432585347190022
24932,7200815361015500038
550323,7173025277130542382
1197947,7214605973812481286
1196026,7210831290826788101
410845,7138387851330325765
938258,7208209817247239430
1083266,7202522825612217606
595108,7231652431711440154
634608,7243241526569028869
1099411,7214671369336818950
1000239,7164994183227329835
834127,7238390382864633093
1338000,7189238255450148101
709118,7123979384188325162
113512,7146414730435939630
690206,7141096576683969794
1149746,7142889701324737794
790819,7148047311048936747
1018904,7115022352060009734
440063,7240142828909727003
692227,7117339195990953222
1021636,7115406786005421318
996026,7183424064877251846
728097,7202916054975270171
1218176,7130717247437458734
1114742,7226921938835246341
1453874,7220983362985528619
270927,7226718198773599493
882659,7228469884416462107
897770,7229405375856938266
968019,7239070342231231771
1180670,7160007520008850694
330187,7139632575030709550
989807,7228669956144057643
634610,7240872462265666821
992509,7117550403327151365
1319999,7199074056547601710
42124,7118650604196531462
246156,7223521810300669226
368463,7159466570710830337
602730,7240183291993804059
12484,7209711147572940037
994726,7238792326372429099
1195064,7232802933081984262
738059,7227979787845963054
38510,7222520563984502022
760809,7201305732505980166
204975,7118756563610979630
1076470,7122932524606770478
189997,7240541847871966470
1272829,7183055182299761925
633383,7240276168124009733
1395109,7237157112156032262
890399,7197089450889907462
234739,7227860241709468955
1198225,7224308648636370181
1453876,7218351506448321835
993800,7124046317722111237
1390927,7230941020995800326
254493,7139918049662029061
1378211,7231190393994382598
995881,7164157914704465158
610276,7223076961730530603
1002534,7225111429953637634
817878,7189845353116470574
978278,7186794569428733190
802678,7156068173672893702
573170,7197627576104340742
905851,7230094622431743258
151905,7193832635053952302
1182019,7233263024709094702
966382,7230166618742050074
1073436,7140491776342641947
1072256,7215588446591700270
989076,7175520918008040710
191772,7117715207937395973
